start_time,exit_status,mean_qscore_template,sequence_length_template,mean_qscore_complement,sequence_length_complement,mean_qscore_2d,sequence_length_2d,run_id
221.560,S_OK,,,,,12.349,1047,f9af78a208e192d69dba03a4542d58a9605309fc
360.269,S_OK,,,,,11.851,1706,dee06345d2f99f17ce01306bad92c65d38381a26
85.963,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
24.898,S_OK,,,,,10.748,2452,f9af78a208e192d69dba03a4542d58a9605309fc
250.189,S_OK,,,,,9.799,988,f9af78a208e192d69dba03a4542d58a9605309fc
195.928,S_OK,,,,,11.048,899,f9af78a208e192d69dba03a4542d58a9605309fc
92.507,S_OK,,,,,11.940,1012,f9af78a208e192d69dba03a4542d58a9605309fc
253.913,S_OK,,,,,9.384,889,f9af78a208e192d69dba03a4542d58a9605309fc
55.201,S_OK,,,,,12.725,728,f9af78a208e192d69dba03a4542d58a9605309fc
330.695,S_OK,,,,,9.255,4192,dee06345d2f99f17ce01306bad92c65d38381a26
192.978,S_OK,,,,,11.284,760,f9af78a208e192d69dba03a4542d58a9605309fc
59.143,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
351.923,S_OK,,,,,11.206,2875,dee06345d2f99f17ce01306bad92c65d38381a26
44.301,2D basecall failed quality filters,,,,,8.805,1792,dee06345d2f99f17ce01306bad92c65d38381a26
91.851,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
150.163,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
287.495,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
129.715,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
40.310,S_OK,,,,,10.674,2791,f9af78a208e192d69dba03a4542d58a9605309fc
353.189,S_NO2D,,,,,,,dee06345d2f99f17ce01306bad92c65d38381a26
227.515,2D basecall failed quality filters,,,,,8.029,1083,f9af78a208e192d69dba03a4542d58a9605309fc
48.433,2D basecall failed quality filters,,,,,7.517,750,f9af78a208e192d69dba03a4542d58a9605309fc
157.609,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
176.326,S_OK,,,,,9.363,4089,f9af78a208e192d69dba03a4542d58a9605309fc
126.401,S_OK,,,,,12.510,1515,f9af78a208e192d69dba03a4542d58a9605309fc
192.581,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
120.072,S_OK,,,,,9.971,3612,dee06345d2f99f17ce01306bad92c65d38381a26
244.972,S_OK,,,,,11.529,734,f9af78a208e192d69dba03a4542d58a9605309fc
315.710,S_OK,,,,,10.701,1441,f9af78a208e192d69dba03a4542d58a9605309fc
304.003,S_OK,,,,,12.890,773,f9af78a208e192d69dba03a4542d58a9605309fc
158.447,S_NO2D,,,,,,,f9af78a208e192d69dba03a4542d58a9605309fc
162.447,S_OK,,,,,11.059,708,f9af78a208e192d69dba03a4542d58a9605309fc
