Size (bp),some sample
966.83,-1.21
968.68,-1.53
970.52,-1.17
972.36,-0.83
974.20,-1.22
976.05,-1.25
977.89,0.21
979.73,2.02
981.57,2.09
983.42,0.20
985.26,-1.67
987.10,-1.59
988.94,0.06
990.79,1.13
992.63,0.29
994.47,-1.53
996.31,-2.26
998.16,-1.08
1000.00,0.65
1001.00,0.86
1004.01,-0.90
1007.01,-2.36
1010.02,-1.18
1013.02,1.47
1016.03,2.71
1019.04,2.28
1022.04,1.99
1025.05,2.54
1028.05,3.38
1031.06,3.93
1034.07,3.81
1037.07,3.29
1040.08,3.03
1043.08,2.69
1046.09,1.61
1049.10,0.32
1052.10,-0.19
1055.11,0.35
1058.11,1.57
1061.12,2.86
1064.13,3.91
1067.13,5.11
1070.14,6.62
1073.14,7.72
1076.15,7.88
1079.16,7.68
1082.16,7.75
1085.17,8.06
1088.17,8.77
1091.18,10.29
1094.19,12.45
1097.19,14.51
1100.20,15.53
1103.20,15.04
1106.21,13.64
1109.22,12.55
1112.22,12.47
1115.23,13.29
1118.23,14.82
1121.24,17.05
1124.25,19.15
1127.25,19.84
1130.26,19.60
1133.27,20.16
1136.27,20.89
1139.28,21.62
1142.28,22.67
1145.29,22.93
1148.30,23.03
1151.30,23.13
1154.31,22.95
1157.31,23.05
1160.32,24.34
1163.33,26.56
1166.33,28.63
1169.34,29.97
1172.34,30.91
1175.35,31.95
1178.36,32.99
1181.36,33.76
1184.37,34.71
1187.37,36.90
1190.38,40.89
1193.39,46.10
1196.39,51.41
1199.40,55.60
1202.40,57.91
1205.41,58.87
1208.42,60.22
1211.42,63.07
1214.43,66.86
1217.43,70.63
1220.44,73.82
1223.45,75.70
1226.45,75.99
1229.46,75.45
1232.46,74.82
1235.47,74.03
1238.48,72.83
1241.48,71.79
1244.49,71.63
1247.49,71.48
1250.50,70.39
1253.51,69.64
1256.51,70.27
1259.52,70.84
1262.52,69.73
1265.53,67.21
1268.54,64.47
1271.54,62.60
1274.55,62.09
1277.55,62.11
1280.56,61.15
1283.57,59.16
1286.57,57.37
1289.58,56.06
1292.58,54.81
1295.59,53.75
1298.60,53.15
1301.60,52.87
1304.61,52.72
1307.61,52.57
1310.62,52.46
1313.63,52.18
1316.63,51.41
1319.64,50.74
1322.64,51.30
1325.65,52.77
1328.66,53.59
1331.66,52.90
1334.67,51.47
1337.67,50.33
1340.68,49.39
1343.69,48.50
1346.69,48.48
1349.70,49.31
1352.70,49.54
1355.71,48.59
1358.72,47.80
1361.72,47.92
1364.73,47.82
1367.73,46.69
1370.74,45.25
1373.75,44.36
1376.75,44.46
1379.76,45.93
1382.77,48.10
1385.77,49.51
1388.78,49.64
1391.78,49.07
1394.79,48.62
1397.80,48.83
1400.80,49.79
1403.81,50.90
1406.81,51.18
1409.82,50.85
1412.83,51.04
1415.83,52.14
1418.84,53.59
1421.84,54.50
1424.85,54.12
1427.86,52.75
1430.86,51.77
1433.87,52.01
1436.87,52.80
1439.88,53.03
1442.89,52.69
1445.89,52.39
1448.90,51.97
1451.90,51.35
1454.91,51.19
1457.92,51.54
1460.92,51.80
1463.93,52.15
1466.93,52.98
1469.94,53.54
1472.95,52.98
1475.95,51.88
1478.96,51.28
1481.96,51.52
1484.97,52.73
1487.98,54.91
1490.98,57.32
1493.99,59.33
1496.99,61.13
1500.00,62.92
1501.00,64.29
1511.86,64.75
1522.72,64.64
1533.59,65.04
1544.45,66.14
1555.31,67.23
1566.17,68.42
1577.04,70.40
1587.90,72.87
1598.76,75.16
1609.62,77.09
1620.49,78.58
1631.35,79.40
1642.21,79.64
1653.07,79.74
1663.93,80.09
1674.80,81.12
1685.66,82.98
1696.52,85.15
1707.38,87.12
1718.25,89.00
1729.11,90.67
1739.97,91.85
1750.83,92.96
1761.70,94.60
1772.56,96.54
1783.42,98.17
1794.28,99.18
1805.14,99.67
1816.01,100.37
1826.87,102.26
1837.73,105.13
1848.59,107.68
1859.46,109.71
1870.32,111.87
1881.18,114.16
1892.04,116.56
1902.91,119.67
1913.77,123.07
1924.63,125.20
1935.49,125.76
1946.36,125.83
1957.22,126.18
1968.08,126.76
1978.94,127.02
1989.80,126.54
2000.67,125.75
2011.53,125.09
2022.39,124.14
2033.25,122.35
2044.12,119.94
2054.98,117.93
2065.84,116.95
2076.70,116.36
2087.57,115.51
2098.43,114.46
2109.29,113.07
2120.15,111.38
2131.01,110.13
2141.88,109.87
2152.74,110.55
2163.60,111.90
2174.46,113.07
2185.33,113.09
2196.19,112.02
2207.05,110.84
2217.91,110.85
2228.78,112.73
2239.64,116.05
2250.50,119.87
2261.36,123.33
2272.22,126.04
2283.09,128.20
2293.95,130.30
2304.81,133.34
2315.67,138.39
2326.54,144.95
2337.40,151.06
2348.26,156.06
2359.12,161.38
2369.99,167.88
2380.85,174.48
2391.71,180.32
2402.57,185.76
2413.43,191.36
2424.30,197.48
2435.16,203.99
2446.02,209.87
2456.88,214.16
2467.75,217.20
2478.61,220.31
2489.47,224.07
2500.33,227.62
2511.20,230.32
2522.06,232.23
2532.92,232.96
2543.78,232.15
2554.65,230.69
2565.51,229.78
2576.37,229.78
2587.23,229.93
2598.09,228.98
2608.96,226.96
2619.82,224.94
2630.68,223.27
2641.54,221.84
2652.41,220.86
2663.27,220.37
2674.13,220.11
2684.99,220.04
2695.85,220.49
2706.72,221.76
2717.58,223.56
2728.44,225.65
2739.30,228.33
2750.17,231.51
2761.03,235.03
2771.89,239.72
2782.75,245.98
2793.62,252.94
2804.48,256.81
2815.34,260.68
2826.20,270.16
2837.07,280.52
2847.93,290.37
2858.79,300.46
2869.65,312.20
2880.51,325.80
2891.38,340.73
2902.24,356.05
2913.10,371.25
2923.96,387.28
2934.83,404.78
2945.69,422.34
2956.55,438.73
2967.41,453.97
2978.28,468.16
2989.14,481.34
3000.00,493.79
3001.00,505.32
3021.97,515.08
3042.94,522.17
3063.92,526.58
3084.89,529.35
3105.86,531.63
3126.83,533.84
3147.80,535.53
3168.78,535.62
3189.75,533.25
3210.72,528.43
3231.69,521.73
3252.66,513.97
3273.64,505.68
3294.61,496.99
3315.58,488.20
3336.55,479.64
3357.52,471.34
3378.50,463.56
3399.47,456.79
3420.44,450.84
3441.41,445.33
3462.38,441.01
3483.36,439.22
3504.33,439.56
3525.30,440.27
3546.27,440.99
3567.24,442.28
3588.22,443.69
3609.19,444.80
3630.16,446.21
3651.13,448.50
3672.10,451.52
3693.08,455.76
3714.05,462.19
3735.02,469.76
3755.99,476.30
3776.97,482.43
3797.94,491.12
3818.91,503.48
3839.88,517.65
3860.85,531.69
3881.83,545.42
3902.80,559.85
3923.77,575.67
3944.74,592.56
3965.71,610.15
3986.69,628.86
4007.66,649.26
4028.63,671.17
4049.60,694.10
4070.57,717.87
4091.55,742.10
4112.52,765.76
4133.49,788.35
4154.46,809.71
4175.43,829.06
4196.41,846.31
4217.38,862.64
4238.35,878.16
4259.32,891.05
4280.29,899.79
4301.27,904.40
4322.24,905.58
4343.21,904.79
4364.18,904.02
4385.15,903.07
4406.13,899.47
4427.10,892.34
4448.07,883.31
4469.04,873.59
4490.01,863.37
4510.99,853.88
4531.96,846.39
4552.93,839.80
4573.90,832.78
4594.87,826.80
4615.85,823.59
4636.82,822.56
4657.79,822.74
4678.76,824.03
4699.73,826.43
4720.71,829.31
4741.68,832.02
4762.65,835.09
4783.62,839.63
4804.59,845.57
4825.57,851.44
4846.54,856.03
4867.51,859.81
4888.48,863.20
4909.45,864.30
4930.43,861.44
4951.40,856.05
4972.37,849.83
4993.34,842.20
5014.31,832.77
5035.29,822.89
5056.26,813.08
5077.23,802.10
5098.20,789.08
5119.17,774.81
5140.15,760.47
5161.12,746.57
5182.09,733.44
5203.06,721.26
5224.04,709.87
5245.01,699.27
5265.98,689.39
5286.95,680.36
5307.92,673.67
5328.90,670.86
5349.87,671.40
5370.84,673.72
5391.81,677.68
5412.78,684.47
5433.76,694.52
5454.73,706.51
5475.70,719.25
5496.67,733.89
5517.64,752.27
5538.62,773.63
5559.59,795.14
5580.56,815.60
5601.53,836.25
5622.50,857.83
5643.48,879.47
5664.45,900.33
5685.42,920.14
5706.39,938.13
5727.36,953.90
5748.34,968.02
5769.31,980.31
5790.28,989.55
5811.25,995.29
5832.22,998.03
5853.20,998.32
5874.17,996.47
5895.14,991.93
5916.11,983.64
5937.08,971.88
5958.06,958.20
5979.03,943.83
6000.00,929.67
6001.00,916.19
6038.73,902.85
6076.45,889.17
6114.18,875.60
6151.91,862.04
6189.63,847.57
6227.36,832.54
6265.08,818.50
6302.81,805.62
6340.54,792.86
6378.26,780.16
6415.99,768.70
6453.72,759.26
6491.44,751.51
6529.17,745.15
6566.90,739.83
6604.62,734.43
6642.35,728.59
6680.08,723.30
6717.80,718.18
6755.53,711.95
6793.25,705.81
6830.98,701.45
6868.71,697.16
6906.43,690.19
6944.16,681.08
6981.89,672.64
7019.61,666.14
7057.34,660.42
7095.07,654.00
7132.79,647.45
7170.52,642.13
7208.25,637.62
7245.97,632.86
7283.70,628.48
7321.42,625.36
7359.15,623.26
7396.88,622.03
7434.60,622.10
7472.33,623.39
7510.06,625.06
7547.78,626.74
7585.51,629.13
7623.24,632.76
7660.96,636.86
7698.69,640.30
7736.42,643.22
7774.14,646.74
7811.87,651.28
7849.59,655.33
7887.32,656.90
7925.05,656.19
7962.77,655.29
8000.50,655.27
8038.23,655.51
8075.95,655.51
8113.68,655.33
8151.41,655.06
8189.13,655.46
8226.86,657.57
8264.58,660.78
8302.31,663.28
8340.04,664.74
8377.76,666.46
8415.49,669.16
8453.22,672.54
8490.94,676.55
8528.67,681.35
8566.40,686.87
8604.12,693.77
8641.85,703.86
8679.58,717.32
8717.30,731.20
8755.03,743.64
8792.75,756.81
8830.48,773.20
8868.21,793.24
8905.93,817.45
8943.66,832.35
8981.39,847.26
9019.11,883.18
9056.84,924.72
9094.57,971.65
9132.29,1024.05
9170.02,1081.53
9207.75,1143.00
9245.47,1206.96
9283.20,1273.11
9320.92,1343.07
9358.65,1417.33
9396.38,1493.16
9434.10,1567.25
9471.83,1638.52
9509.56,1706.78
9547.28,1769.88
9585.01,1825.38
9622.74,1873.49
9660.46,1915.91
9698.19,1953.81
9735.92,1986.27
9773.64,2010.36
9811.37,2024.85
9849.09,2032.47
9886.82,2036.18
9924.55,2035.93
9962.27,2030.71
10000.00,2021.06
10001.00,2008.38
10061.23,1993.66
10121.46,1977.26
10181.69,1959.23
10241.92,1940.29
10302.14,1921.10
10362.37,1901.26
10422.60,1881.21
10482.83,1862.07
10543.06,1843.46
10603.29,1824.31
10663.52,1805.56
10723.75,1789.32
10783.98,1775.17
10844.21,1759.90
10904.43,1742.25
10964.66,1725.02
11024.89,1710.67
11085.12,1698.22
11145.35,1685.82
11205.58,1673.58
11265.81,1663.06
11326.04,1654.94
11386.26,1647.99
11446.49,1640.89
11506.72,1634.16
11566.95,1628.68
11627.18,1623.61
11687.41,1618.25
11747.64,1613.47
11807.87,1609.84
11868.10,1607.74
11928.33,1608.45
11988.55,1612.03
12048.78,1616.76
12109.01,1621.47
12169.24,1626.77
12229.47,1633.53
12289.70,1640.50
12349.93,1644.90
12410.16,1644.92
12470.39,1641.01
12530.61,1636.11
12590.84,1633.65
12651.07,1633.37
12711.30,1631.60
12771.53,1625.92
12831.76,1617.05
12891.99,1606.79
12952.22,1596.00
13012.45,1583.85
13072.67,1569.47
13132.90,1553.40
13193.13,1535.27
13253.36,1514.21
13313.59,1492.31
13373.82,1471.46
13434.05,1450.29
13494.28,1428.33
13554.51,1406.92
13614.74,1385.58
13674.96,1362.90
13735.19,1339.55
13795.42,1317.38
13855.65,1296.72
13915.88,1276.35
13976.11,1256.11
14036.34,1237.27
14096.57,1220.42
14156.79,1204.94
14217.02,1189.92
14277.25,1174.83
14337.48,1160.54
14397.71,1148.27
14457.94,1137.57
14518.17,1126.84
14578.40,1115.26
14638.63,1104.22
14698.86,1096.13
14759.08,1091.58
14819.31,1089.86
14879.54,1090.70
14939.77,1093.32
15000.00,1096.21
15001.00,1098.60
15227.34,1101.73
15453.69,1108.31
15680.03,1118.94
15906.38,1130.39
16132.72,1139.72
16359.07,1148.28
16585.41,1158.97
16811.76,1171.78
17038.10,1184.30
17264.45,1195.45
17490.79,1205.53
17717.13,1213.82
17943.48,1219.42
18169.82,1223.35
18396.17,1227.34
18622.51,1232.05
18848.86,1237.17
19075.20,1242.22
19301.55,1246.89
19527.89,1251.16
19754.24,1255.20
19980.58,1257.84
20206.93,1256.43
20433.27,1249.28
20659.62,1237.21
20885.96,1222.34
21112.30,1206.30
21338.65,1189.07
21564.99,1169.89
21791.34,1149.28
22017.68,1128.38
22244.03,1106.93
22470.37,1084.20
22696.72,1061.01
22923.06,1038.42
23149.41,1015.69
23375.75,991.95
23602.09,968.30
23828.44,945.72
24054.78,922.99
24281.13,899.04
24507.47,875.58
24733.82,855.23
24960.16,837.64
25186.51,820.34
25412.85,802.64
25639.20,785.65
25865.54,769.92
26091.88,755.57
26318.23,742.84
26544.57,731.55
26770.92,720.84
26997.26,710.02
27223.61,699.45
27449.95,689.81
27676.30,680.76
27902.64,671.61
28128.99,662.72
28355.33,654.78
28581.68,647.79
28808.02,641.31
29034.37,634.71
29260.71,627.48
29487.05,619.91
29713.40,612.73
29939.74,606.20
30166.09,600.01
30392.43,593.53
30618.78,586.58
30845.12,579.76
31071.47,573.41
31297.81,567.14
31524.16,560.58
31750.50,553.71
31976.84,546.31
32203.19,537.87
32429.53,528.73
32655.88,520.19
32882.22,512.65
33108.57,505.79
33334.91,499.61
33561.26,494.00
33787.60,489.07
34013.95,485.39
34240.29,482.59
34466.64,479.39
34692.98,475.52
34919.32,471.87
35145.67,468.73
35372.01,464.95
35598.36,459.74
35824.70,454.06
36051.05,449.35
36277.39,446.10
36503.74,444.46
36730.08,444.17
36956.43,443.84
37182.77,442.26
37409.11,439.92
37635.46,437.62
37861.80,435.31
38088.15,433.24
38314.49,431.36
38540.84,429.00
38767.18,426.48
38993.53,424.46
39219.87,422.92
39446.21,422.00
39672.56,421.35
39898.91,419.50
40125.25,416.08
40351.59,412.61
40577.94,410.32
40804.29,409.06
